Sampllng Date,8/8/19,,,8/1/19,,,7/25/19,,,7/18/19,,,7/11/19,,,6/27/19,,,6/20/19,,,6/13/19,,,6/6/19,,,5/30/19,,,5/23/19,
Battery High Tide,2:54 AM,,,9:03 AM,,,2:30 AM,,,10:16 AM,,,4:13 AM,,,4:10 AM,,,11:31 AM,,,5:37 AM,,,11:27 AM,,,6:01 AM,,,12:03 AM,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Sites (roughly arranged north to south),Sample Time,Most Probable Number (MPN) of Enteroccocus colonies per 100 ml,Notes,Sample Time,Most Probable Number (MPN) of Enteroccocus colonies per 100 ml,Notes,Sample Time,Most Probable Number (MPN) of Enteroccocus colonies per 100 ml,Notes,Sample Time,Most Probable Number (MPN) of Enteroccocus colonies per 100 ml,Notes,Sample Time,Most Probable Number (MPN) of Enteroccocus colonies per 100 ml,Notes,Sample time,Most Probable Number (MPN) of Enteroccocus colonies per 100 ml,Notes,Sample Time,Most Probable Number (MPN) of Enteroccocus colonies per 100 ml,Notes,Sample Time,Most Probable Number (MPN) of Enteroccocus colonies per 100 ml,Notes,Sample Time,Most Probable Number (MPN) of Enteroccocus colonies per 100 ml,Notes,Sample Time,Most Probable Number (MPN) of Enteroccocus colonies per 100 ml,Notes,Sample Time,Most Probable Number (MPN) of Enteroccocus colonies per 100 ml
Hudson River JFK Marina (Yonkers),,,,11:04 AM,86,,,,,10:43 AM,3169,,,,,,,,10:59 AM,10,,,,,10:28 AM,10,,,,,11:10 AM,20
Hudson River Yonkers Paddling and Rowing Club,,,,11:15 AM,97,,,,,10:29 AM,"19,863",,,,,,,,11:39 AM,169,,,,,12:26 PM,98,,,,,10:03 AM,63
Saw Mill River daylighted section (Yonkers),,,,11:26 AM,5475,,,,,10:40 AM,>24196,,,,,,,,11:30 AM,563,,,,,9:50 AM,201,,,,,9:45 AM,2224
Van Cortlandt Park Lake,,,,8:45 AM,15531,,,,,,,,1:02 PM,113,,1:42 PM,>24196,,,,,9:04 AM,4611,,,,,9:17 AM,>24196,,,
Bronx River Hunts Point Riverside Park,9:30 AM,1576,,,,,9:45 AM,134,,,,,9:30 AM,120,,9:00 AM,333,,,,,12:00 PM,221,,,,,10:05 AM,19863,,,
Bronx River Soundview Park,9:45 AM,2500,,,,,9:30 AM,195,,,,,9:05 AM,41,,9:15 AM,127,,,,,12:00 PM,235,,,,,9:43 AM,11199,,,
Harlem River Muscota Marsh,6:51 AM,75,,12:45 PM,122,,11:03 AM,52,,10:18 AM,1039,,8:36 AM,31,,8:46 AM,30,,7:34 AM,75,,10:57 AM,175,,11:21 AM,30,,10:21 AM,592,,10:18 AM,10
Harlem River North Cove,7:18 AM,292,,11:06 AM,279,,10:05 AM,110,,10:45 AM,24196,,9:06 AM,10,,11:32 AM,84,,8:02 AM,613,,11:24 AM,2247,,10:50 AM,41,,10:51 AM,199,,9:50 AM,318
Harlem River Peter J. Sharpe Boathouse,7:44 AM,98,,10:51 AM,144,,10:30 AM,221,,11:16 AM,2613,,9:38 AM,10,,10:55 AM,199,,8:42 AM,266,,11:55 AM,2613,,10:16 AM,52,,11:18 AM,689,,8:40 AM,2851
Bronx Kill west end,9:21 AM,223,,9:32 AM,12997,,9:14 AM,2224,,9:30 AM,>24196,,9:34 AM,120,,,,,9:30 AM,173,,9:25 AM,1092,,9:53 AM,393,,9:00 AM,2851,,9:10 AM,301
