url,Date,Column 1,Actual (1),Historical Average,Record
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-15,2019-05-15,Precipitation; 0.02,0.02,0.11,0.89
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-15,2019-05-15,Month to Date,3.67,1.69,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-15,2019-05-15,Year to Date,19,15.59,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-16,2019-05-16,Precipitation; 0.09,0.09,0.12,2.57
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-16,2019-05-16,Month to Date,3.76,1.81,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-16,2019-05-16,Year to Date,19.09,15.71,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-17,2019-05-17,Precipitation; 0.03,0.03,0.12,1.03
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-17,2019-05-17,Month to Date,3.79,1.93,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-17,2019-05-17,Year to Date,19.12,15.83,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-18,2019-05-18,Precipitation; 0,0,0.12,1.44
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-18,2019-05-18,Month to Date,3.79,2.05,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-18,2019-05-18,Year to Date,19.12,15.95,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-19,2019-05-19,Precipitation; 0.03,0.03,0.12,2
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-19,2019-05-19,Month to Date,3.82,2.17,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-19,2019-05-19,Year to Date,19.15,16.07,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-20,2019-05-20,Precipitation; 0,0,0.12,1.79
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-20,2019-05-20,Month to Date,3.82,2.29,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-20,2019-05-20,Year to Date,19.15,16.19,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-21,2019-05-21,Precipitation; 0,0,0.14,1.6
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-21,2019-05-21,Month to Date,3.82,2.43,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-21,2019-05-21,Year to Date,19.15,16.33,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-22,2019-05-22,Precipitation; 0,0,0.13,0.95
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-22,2019-05-22,Month to Date,3.82,2.56,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-22,2019-05-22,Year to Date,19.15,16.46,-
